action,alert_name,bytes_received,bytes_sent,device,direction,dst_ip,dst_port,duration,host,http_method,level,log_type,msg,proto,protocol,raw_log,severity,source,src_ip,src_port,status_code,url,user,user_agent
DENY,,40860,516,Firewall-01,outbound,10.0.0.121,80,25,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:20:02.515146"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.47"", ""dst_ip"": ""10.0.0.121"", ""src_port"": 65227, ""dst_port"": 80, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 516, ""bytes_received"": 40860, ""duration"": 25, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.47,65227,,,,
DENY,,17358,747,Firewall-01,outbound,10.0.0.3,80,84,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:20:15.583379"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.199"", ""dst_ip"": ""10.0.0.3"", ""src_port"": 14043, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 747, ""bytes_received"": 17358, ""duration"": 84, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.199,14043,,,,
DENY,,5655,4477,Firewall-01,inbound,10.0.0.4,80,31,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:20:42.104517"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.137"", ""dst_ip"": ""10.0.0.4"", ""src_port"": 52660, ""dst_port"": 80, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 4477, ""bytes_received"": 5655, ""duration"": 31, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.137,52660,,,,
DENY,,18999,4547,Firewall-01,inbound,10.0.0.184,80,50,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:20:50.254303"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.65"", ""dst_ip"": ""10.0.0.184"", ""src_port"": 12280, ""dst_port"": 80, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 4547, ""bytes_received"": 18999, ""duration"": 50, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.65,12280,,,,
DENY,,14305,2257,Firewall-01,inbound,10.0.0.147,80,5,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:21:08.658289"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.14"", ""dst_ip"": ""10.0.0.147"", ""src_port"": 3052, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 2257, ""bytes_received"": 14305, ""duration"": 5, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.14,3052,,,,
DENY,,10816,3719,Firewall-01,inbound,10.0.0.77,22,24,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:21:26.183325"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.78"", ""dst_ip"": ""10.0.0.77"", ""src_port"": 7345, ""dst_port"": 22, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 3719, ""bytes_received"": 10816, ""duration"": 24, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.78,7345,,,,
alert,XSS,,,,,10.0.0.49,,,,GET,warning,application,Detected XSS: Generic XSS Signature,,,"{""timestamp"": ""2026-01-06 10:21:37.673274"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.88"", ""dst_ip"": ""10.0.0.49"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic XSS Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected XSS: Generic XSS Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""XSS"", ""raw_log"": ""Pattern Detection: XSS - Generic XSS Signature""}",,,192.168.1.88,,200,/search?q=Generic XSS Signature,N/A,Mozilla/5.0
alert,packet stuffing,,,,,10.0.0.18,,,,GET,warning,application,Detected packet stuffing: Generic packet stuffing Signature,,,"{""timestamp"": ""2026-01-06 10:21:44.355832"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.39"", ""dst_ip"": ""10.0.0.18"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic packet stuffing Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected packet stuffing: Generic packet stuffing Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""packet stuffing"", ""raw_log"": ""Pattern Detection: packet stuffing - Generic packet stuffing Signature""}",,,192.168.1.39,,200,/search?q=Generic packet stuffing Signature,N/A,Mozilla/5.0
DENY,,32970,753,Firewall-01,outbound,10.0.0.213,443,1,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:22:06.764078"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.213"", ""dst_ip"": ""10.0.0.213"", ""src_port"": 5611, ""dst_port"": 443, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 753, ""bytes_received"": 32970, ""duration"": 1, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.213,5611,,,,
ALLOW,,11113,1934,Firewall-01,outbound,10.0.0.67,22,62,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:22:36.453246"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.118"", ""dst_ip"": ""10.0.0.67"", ""src_port"": 27492, ""dst_port"": 22, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 1934, ""bytes_received"": 11113, ""duration"": 62, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.118,27492,,,,
ALLOW,,39073,1166,Firewall-01,outbound,10.0.0.249,443,19,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:22:48.511751"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.53"", ""dst_ip"": ""10.0.0.249"", ""src_port"": 29711, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 1166, ""bytes_received"": 39073, ""duration"": 19, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.53,29711,,,,
DENY,,39926,1039,Firewall-01,inbound,10.0.0.189,80,10,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:23:04.852708"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.214"", ""dst_ip"": ""10.0.0.189"", ""src_port"": 49367, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 1039, ""bytes_received"": 39926, ""duration"": 10, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.214,49367,,,,
ALLOW,,5389,4047,Firewall-01,inbound,10.0.0.223,443,81,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:23:31.482844"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.48"", ""dst_ip"": ""10.0.0.223"", ""src_port"": 1170, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 4047, ""bytes_received"": 5389, ""duration"": 81, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.48,1170,,,,
ALLOW,,30199,4388,Firewall-01,inbound,10.0.0.155,53,70,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:23:56.827408"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.251"", ""dst_ip"": ""10.0.0.155"", ""src_port"": 17782, ""dst_port"": 53, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 4388, ""bytes_received"": 30199, ""duration"": 70, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.251,17782,,,,
ALLOW,,41659,1806,Firewall-01,outbound,10.0.0.7,443,48,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:24:19.682975"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.97"", ""dst_ip"": ""10.0.0.7"", ""src_port"": 2287, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 1806, ""bytes_received"": 41659, ""duration"": 48, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.97,2287,,,,
ALLOW,,48596,3883,Firewall-01,outbound,10.0.0.66,80,25,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:24:56.045613"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.233"", ""dst_ip"": ""10.0.0.66"", ""src_port"": 46599, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""ALLOW"", ""bytes_sent"": 3883, ""bytes_received"": 48596, ""duration"": 25, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.233,46599,,,,
ALLOW,,12782,2890,Firewall-01,outbound,10.0.0.95,80,3,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:25:07.338002"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.205"", ""dst_ip"": ""10.0.0.95"", ""src_port"": 27370, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""ALLOW"", ""bytes_sent"": 2890, ""bytes_received"": 12782, ""duration"": 3, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.205,27370,,,,
ALLOW,,15154,3274,Firewall-01,outbound,10.0.0.57,53,96,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:25:18.518454"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.154"", ""dst_ip"": ""10.0.0.57"", ""src_port"": 55203, ""dst_port"": 53, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 3274, ""bytes_received"": 15154, ""duration"": 96, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.154,55203,,,,
alert,JWT Token Manipulation,,,,,10.0.0.44,,,,GET,warning,application,Detected JWT Token Manipulation: Generic JWT Token Manipulation Signature,,,"{""timestamp"": ""2026-01-06 10:25:19.329766"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.134"", ""dst_ip"": ""10.0.0.44"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic JWT Token Manipulation Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected JWT Token Manipulation: Generic JWT Token Manipulation Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""JWT Token Manipulation"", ""raw_log"": ""Pattern Detection: JWT Token Manipulation - Generic JWT Token Manipulation Signature""}",,,192.168.1.134,,200,/search?q=Generic JWT Token Manipulation Signature,N/A,Mozilla/5.0
DENY,,28123,2083,Firewall-01,inbound,10.0.0.95,80,49,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:25:48.368954"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.103"", ""dst_ip"": ""10.0.0.95"", ""src_port"": 10479, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 2083, ""bytes_received"": 28123, ""duration"": 49, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.103,10479,,,,
alert,Server-Side Request Forgery,,,,,10.0.0.47,,,,GET,warning,application,Detected Server-Side Request Forgery: 192.168.,,,"{""timestamp"": ""2026-01-06 10:25:51.881445"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.167"", ""dst_ip"": ""10.0.0.47"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=192.168."", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected Server-Side Request Forgery: 192.168."", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""Server-Side Request Forgery"", ""raw_log"": ""Pattern Detection: Server-Side Request Forgery - 192.168.""}",,,192.168.1.167,,200,/search?q=192.168.,N/A,Mozilla/5.0
DENY,,29976,1047,Firewall-01,inbound,10.0.0.4,443,48,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:26:01.864900"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.8"", ""dst_ip"": ""10.0.0.4"", ""src_port"": 50662, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 1047, ""bytes_received"": 29976, ""duration"": 48, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.8,50662,,,,
alert,Missing Security Headers,,,,,10.0.0.25,,,,GET,warning,application,Detected Missing Security Headers: text/html,,,"{""timestamp"": ""2026-01-06 10:26:26.603190"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.183"", ""dst_ip"": ""10.0.0.25"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=text/html"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected Missing Security Headers: text/html"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""Missing Security Headers"", ""raw_log"": ""Pattern Detection: Missing Security Headers - text/html""}",,,192.168.1.183,,200,/search?q=text/html,N/A,Mozilla/5.0
alert,DEVICE SPOOFING,,,,,10.0.0.45,,,,GET,warning,application,Detected DEVICE SPOOFING: Generic DEVICE SPOOFING Signature,,,"{""timestamp"": ""2026-01-06 10:26:42.279739"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.54"", ""dst_ip"": ""10.0.0.45"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic DEVICE SPOOFING Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected DEVICE SPOOFING: Generic DEVICE SPOOFING Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""DEVICE SPOOFING"", ""raw_log"": ""Pattern Detection: DEVICE SPOOFING - Generic DEVICE SPOOFING Signature""}",,,192.168.1.54,,200,/search?q=Generic DEVICE SPOOFING Signature,N/A,Mozilla/5.0
alert,IOT botnet,,,,,10.0.0.23,80,,,GET,warning,network,Detected IOT botnet: Generic IOT botnet Signature,TCP,,"{""timestamp"": ""2026-01-06 10:26:51.056981"", ""log_type"": ""network"", ""src_ip"": ""192.168.1.124"", ""dst_ip"": ""10.0.0.23"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic IOT botnet Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected IOT botnet: Generic IOT botnet Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""IOT botnet"", ""src_port"": 43089, ""dst_port"": 80, ""proto"": ""TCP"", ""raw_log"": ""Pattern Detection: IOT botnet - Generic IOT botnet Signature""}",,,192.168.1.124,43089,200,/search?q=Generic IOT botnet Signature,N/A,Mozilla/5.0
alert,XML External Entity,,,,,10.0.0.13,,,,GET,warning,application,Detected XML External Entity: POST,,,"{""timestamp"": ""2026-01-06 10:27:32.535725"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.84"", ""dst_ip"": ""10.0.0.13"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=POST"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected XML External Entity: POST"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""XML External Entity"", ""raw_log"": ""Pattern Detection: XML External Entity - POST""}",,,192.168.1.84,,200,/search?q=POST,N/A,Mozilla/5.0
DENY,,49484,2567,Firewall-01,inbound,10.0.0.12,443,55,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:27:36.353731"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.14"", ""dst_ip"": ""10.0.0.12"", ""src_port"": 14374, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 2567, ""bytes_received"": 49484, ""duration"": 55, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.14,14374,,,,
ALLOW,,5364,1025,Firewall-01,inbound,10.0.0.150,80,19,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:28:13.119690"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.247"", ""dst_ip"": ""10.0.0.150"", ""src_port"": 3863, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""ALLOW"", ""bytes_sent"": 1025, ""bytes_received"": 5364, ""duration"": 19, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.247,3863,,,,
alert,Insecure Firmware,,,,,10.0.0.31,,,,GET,warning,application,Detected Insecure Firmware: Generic Insecure Firmware Signature,,,"{""timestamp"": ""2026-01-06 10:28:20.904405"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.127"", ""dst_ip"": ""10.0.0.31"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic Insecure Firmware Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected Insecure Firmware: Generic Insecure Firmware Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""Insecure Firmware"", ""raw_log"": ""Pattern Detection: Insecure Firmware - Generic Insecure Firmware Signature""}",,,192.168.1.127,,200,/search?q=Generic Insecure Firmware Signature,N/A,Mozilla/5.0
ALLOW,,16634,782,Firewall-01,inbound,10.0.0.209,443,99,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:28:27.753555"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.5"", ""dst_ip"": ""10.0.0.209"", ""src_port"": 7621, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 782, ""bytes_received"": 16634, ""duration"": 99, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.5,7621,,,,
alert,Coop Abuse,,,,,10.0.0.44,,,,GET,warning,application,Detected Coop Abuse: Generic Coop Abuse Signature,,,"{""timestamp"": ""2026-01-06 10:28:34.041659"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.103"", ""dst_ip"": ""10.0.0.44"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic Coop Abuse Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected Coop Abuse: Generic Coop Abuse Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""Coop Abuse"", ""raw_log"": ""Pattern Detection: Coop Abuse - Generic Coop Abuse Signature""}",,,192.168.1.103,,200,/search?q=Generic Coop Abuse Signature,N/A,Mozilla/5.0
